idChef,idPlatillo,estilo,especialidad
42,41,Gourmet,Perhaps
42,45,Tradicional,Thus
43,23,Fusion,Least
43,40,Tradicional,Popular
43,41,Fusion,Federal
43,44,Moderno,Director
43,45,Fusion,Own
43,49,Gourmet,Simple
44,2,Gourmet,Capital
44,24,Moderno,Every
44,25,Tradicional,South
44,36,Gourmet,Modern
44,44,Tradicional,Paper
44,46,Moderno,Go
45,17,Moderno,Sense
45,22,Moderno,Address
45,26,Gourmet,Alone
45,36,Tradicional,Eight
46,6,Fusion,Buy
46,26,Tradicional,Natural
46,40,Gourmet,Court
46,43,Gourmet,Figure
46,45,Moderno,Stay
46,46,Tradicional,Seek
46,47,Fusion,Art
46,49,Fusion,Cut
47,7,Tradicional,Professor
47,24,Tradicional,Training
47,27,Gourmet,Bar
47,28,Tradicional,Want
47,37,Tradicional,Owner
47,40,Gourmet,Page
47,45,Fusion,Start
47,49,Gourmet,Before
48,9,Fusion,Street
48,11,Fusion,Ok
48,22,Gourmet,Realize
48,26,Fusion,Piece
48,30,Gourmet,Property
48,38,Moderno,Student
48,46,Gourmet,Three
49,3,Tradicional,Cultural
49,8,Fusion,Either
49,16,Moderno,Include
49,27,Gourmet,Continue
49,33,Fusion,Point
49,46,Tradicional,Operation
50,7,Gourmet,Really
50,15,Fusion,Who
50,25,Fusion,Traditional
50,26,Moderno,Piece
50,37,Moderno,Speak
50,47,Moderno,Standard
51,12,Fusion,Beautiful
51,18,Tradicional,Walk
51,25,Moderno,Physical
51,26,Fusion,Sell
51,49,Fusion,Individual
52,13,Tradicional,Ability
52,39,Moderno,Rise
52,41,Moderno,Thing
52,43,Tradicional,Security
52,49,Gourmet,Life
53,8,Tradicional,Appear
53,12,Tradicional,Usually
53,18,Tradicional,See
53,26,Tradicional,Congress
53,37,Gourmet,Too
53,43,Moderno,Enjoy
53,49,Fusion,Best
54,9,Tradicional,Who
54,16,Moderno,Even
54,18,Gourmet,Summer
54,23,Gourmet,Compare
54,39,Gourmet,She
54,42,Tradicional,Mr
54,44,Tradicional,Simply
55,15,Fusion,Value
55,16,Fusion,Class
55,22,Moderno,Choice
55,30,Moderno,Second
55,32,Fusion,Including
55,33,Fusion,Home
55,35,Moderno,American
55,48,Gourmet,Real
56,8,Tradicional,Bad
56,9,Fusion,Anything
56,11,Fusion,Decade
56,16,Moderno,Law
56,31,Fusion,Someone
57,9,Fusion,Three
57,17,Moderno,By
57,26,Fusion,Production
58,10,Gourmet,For
58,17,Moderno,Design
58,20,Fusion,Statement
58,21,Gourmet,Congress
58,31,Tradicional,Participant
58,36,Fusion,Occur
59,23,Tradicional,Dog
59,33,Fusion,Others
59,39,Gourmet,Coach
59,50,Gourmet,Leader
60,9,Gourmet,Few
60,25,Fusion,Manage
60,40,Tradicional,Mrs
60,49,Fusion,Course
61,7,Moderno,Clear
61,16,Tradicional,Full
61,17,Moderno,Manager
61,21,Tradicional,Big
61,23,Moderno,Sell
61,47,Moderno,Say
62,22,Moderno,How
62,30,Tradicional,Show
62,44,Gourmet,Wall
62,48,Fusion,Cultural
63,10,Fusion,Big
63,26,Gourmet,Indicate
63,31,Fusion,Simple
63,43,Gourmet,Fact
63,48,Moderno,Anything
64,5,Gourmet,Cause
64,16,Fusion,Record
64,31,Tradicional,Morning
64,46,Fusion,Give
64,47,Gourmet,American
64,48,Fusion,Successful
65,8,Moderno,Cold
65,22,Fusion,Author
65,26,Moderno,Police
65,34,Fusion,Summer
65,45,Gourmet,Many
65,50,Fusion,We
66,7,Fusion,Official
66,10,Moderno,Think
66,23,Moderno,Car
66,34,Fusion,Him
66,37,Fusion,Board
66,44,Moderno,Process
66,48,Moderno,Continue
66,49,Tradicional,Modern
67,7,Moderno,Likely
67,10,Moderno,Accept
67,30,Fusion,Suggest
68,9,Tradicional,Firm
68,11,Fusion,Possible
68,12,Moderno,Certain
68,13,Fusion,Claim
68,14,Tradicional,Create
68,23,Moderno,Join
68,34,Tradicional,Pick
68,49,Fusion,List
69,28,Gourmet,Practice
69,30,Gourmet,Blood
69,36,Tradicional,Wind
69,43,Tradicional,Skin
70,3,Gourmet,Left
70,37,Fusion,Long
70,43,Moderno,Apply
71,2,Fusion,Much
71,4,Gourmet,Face
71,6,Moderno,Foreign
71,16,Moderno,Small
71,28,Gourmet,Reality
71,46,Fusion,Five
72,3,Moderno,Measure
72,19,Fusion,Popular
72,21,Tradicional,Sister
72,34,Moderno,Miss
72,48,Moderno,Oil
72,49,Gourmet,Range
73,7,Gourmet,Itself
73,8,Tradicional,Continue
73,10,Tradicional,Watch
73,11,Gourmet,Add
73,26,Moderno,Wrong
73,35,Gourmet,Important
74,2,Gourmet,Somebody
74,5,Tradicional,Suddenly
74,11,Tradicional,Similar
74,24,Tradicional,Least
74,27,Moderno,Commercial
75,2,Fusion,Down
75,6,Tradicional,Of
75,14,Tradicional,Rather
75,16,Moderno,Minute
75,29,Tradicional,Wide
75,46,Moderno,Occur
76,21,Tradicional,Treat
76,32,Tradicional,Political
76,36,Gourmet,Just
76,48,Tradicional,Authority
77,1,Gourmet,Record
77,26,Moderno,Toward
77,34,Gourmet,Themselves
77,43,Moderno,Music
78,7,Fusion,Yard
78,13,Fusion,Approach
78,14,Gourmet,Book
78,29,Gourmet,Middle
78,30,Tradicional,Certainly
78,40,Fusion,Effort
78,47,Gourmet,Indicate
79,8,Fusion,Resource
79,13,Moderno,Series
79,27,Gourmet,Way
79,28,Fusion,Finally
79,30,Tradicional,Film
79,32,Tradicional,Management
79,48,Tradicional,Since
79,49,Tradicional,How
80,12,Gourmet,City
80,26,Tradicional,Serve
80,28,Moderno,View
80,45,Fusion,Your
81,17,Gourmet,Air
81,42,Gourmet,Kitchen
81,48,Moderno,Others
82,14,Gourmet,Involve
82,22,Gourmet,Bring
82,24,Tradicional,Themselves
82,26,Tradicional,Skin
82,32,Gourmet,Teach
82,37,Gourmet,Full
82,39,Moderno,Establish
82,42,Fusion,During
83,11,Moderno,Federal
83,18,Tradicional,Less
83,22,Gourmet,Which
83,23,Moderno,Forward
83,40,Fusion,Law
83,45,Fusion,Cold
83,46,Gourmet,Bill
83,47,Gourmet,Either
84,30,Tradicional,Budget
84,32,Moderno,Face
84,50,Fusion,Set
85,2,Tradicional,Without
85,21,Fusion,Process
85,24,Moderno,Research
85,33,Gourmet,Difficult
85,39,Moderno,Else
85,44,Moderno,Best
85,47,Gourmet,Whatever
86,13,Fusion,White
86,15,Tradicional,Quite
86,24,Fusion,Though
86,37,Tradicional,So
86,46,Gourmet,Card
87,7,Gourmet,Learn
87,16,Moderno,Speech
87,21,Moderno,Here
87,26,Gourmet,Especially
87,29,Tradicional,Unit
87,37,Tradicional,Official
87,38,Gourmet,Else
87,42,Fusion,Hope
88,9,Fusion,Would
88,10,Moderno,Democrat
88,45,Fusion,Sport
88,50,Tradicional,Simply
89,7,Tradicional,Day
89,12,Tradicional,Speech
89,13,Fusion,Large
89,15,Fusion,Million
89,30,Tradicional,Price
89,35,Tradicional,Discussion
90,7,Gourmet,Beat
90,23,Moderno,Chair
90,34,Moderno,Marriage
91,6,Fusion,More
91,10,Tradicional,Information
91,12,Moderno,News
91,33,Tradicional,If
91,40,Gourmet,Agree
91,41,Moderno,Black
92,8,Moderno,Past
92,11,Tradicional,Table
92,23,Moderno,Identify
92,39,Fusion,Probably
92,44,Gourmet,Than
92,45,Fusion,Again
92,50,Gourmet,Kid
93,11,Moderno,May
93,43,Gourmet,Hope
93,47,Gourmet,I
94,5,Moderno,Accept
94,12,Gourmet,New
94,21,Tradicional,In
94,29,Gourmet,Off
94,31,Moderno,Fast
94,38,Tradicional,Perhaps
94,40,Fusion,Example
94,46,Moderno,Rock
95,5,Moderno,Conference
95,25,Tradicional,Light
95,26,Moderno,Threat
95,31,Tradicional,Light
95,33,Tradicional,Training
95,38,Moderno,Campaign
95,44,Fusion,Enough
96,32,Fusion,Perhaps
96,41,Gourmet,Central
96,43,Fusion,Any
97,2,Fusion,Final
97,7,Fusion,Ask
97,10,Gourmet,Item
97,14,Tradicional,Budget
97,28,Fusion,One
97,38,Moderno,Left
97,49,Tradicional,Short
98,14,Moderno,Woman
98,23,Gourmet,Seem
98,30,Fusion,Outside
98,33,Tradicional,Develop
98,49,Gourmet,Majority
99,23,Fusion,Theory
99,31,Moderno,Employee
99,46,Moderno,Actually
100,3,Gourmet,Gun
100,11,Gourmet,Worry
100,35,Tradicional,Condition
100,49,Fusion,Want
