idChef,idRestaurante,fechaInicio,puesto
53,71,2017-03-08,Chef de Linea
54,57,2018-03-22,Chef de Linea
54,171,2024-04-09,Chef Ejecutivo
55,78,2024-05-18,Sous Chef
55,83,2024-05-04,Chef Ejecutivo
55,175,2021-01-25,Chef Principal
56,130,2020-07-26,Chef Ejecutivo
57,26,2020-03-18,Chef Ejecutivo
57,114,2018-04-03,Chef Ejecutivo
57,183,2023-07-27,Chef Ejecutivo
58,70,2018-08-08,Sous Chef
58,188,2018-02-04,Chef Ejecutivo
59,161,2023-05-29,Chef Ejecutivo
60,105,2024-11-08,Sous Chef
61,24,2021-09-23,Chef Principal
61,163,2023-10-21,Chef de Linea
61,181,2025-09-07,Chef Ejecutivo
62,178,2020-07-25,Chef Principal
63,13,2016-09-08,Chef Ejecutivo
63,157,2024-08-01,Chef Principal
64,111,2026-04-22,Sous Chef
64,117,2018-01-08,Sous Chef
65,160,2025-02-14,Chef de Linea
66,57,2018-04-19,Chef Principal
66,86,2017-10-19,Chef Ejecutivo
67,3,2021-06-19,Chef de Linea
67,143,2022-04-14,Sous Chef
67,190,2017-03-28,Chef de Linea
68,130,2023-03-26,Chef Ejecutivo
69,40,2025-08-09,Chef Ejecutivo
69,109,2020-06-25,Chef Ejecutivo
69,145,2019-02-27,Chef Principal
70,125,2021-06-25,Sous Chef
70,149,2024-11-04,Sous Chef
71,126,2017-06-30,Sous Chef
72,10,2018-06-17,Chef de Linea
72,48,2017-05-19,Sous Chef
72,123,2022-12-24,Chef de Linea
73,43,2022-02-27,Chef Principal
73,176,2020-04-01,Chef Principal
73,197,2020-07-19,Chef Ejecutivo
74,85,2025-05-27,Chef Ejecutivo
75,20,2020-06-23,Chef Principal
75,102,2018-02-19,Chef Ejecutivo
75,127,2026-03-16,Sous Chef
76,23,2019-01-25,Chef Principal
76,44,2020-11-19,Chef Ejecutivo
77,55,2019-02-14,Sous Chef
77,167,2024-10-03,Chef Ejecutivo
78,63,2023-10-23,Chef Principal
78,87,2018-12-08,Chef de Linea
79,8,2019-07-08,Chef de Linea
79,126,2023-10-01,Chef Ejecutivo
79,189,2017-09-01,Chef Principal
80,46,2021-04-30,Sous Chef
80,114,2021-02-28,Chef Principal
80,180,2020-02-02,Sous Chef
81,30,2023-06-02,Chef de Linea
81,105,2021-10-02,Sous Chef
81,184,2023-05-23,Chef de Linea
82,20,2021-07-23,Chef Ejecutivo
82,36,2024-05-26,Chef de Linea
82,153,2023-08-20,Sous Chef
83,26,2023-02-08,Sous Chef
84,16,2023-09-29,Chef Ejecutivo
85,42,2025-02-09,Chef Ejecutivo
86,41,2020-11-22,Chef Ejecutivo
87,60,2020-10-06,Chef Principal
87,67,2019-10-17,Chef de Linea
87,167,2016-11-22,Sous Chef
88,15,2024-08-09,Chef Principal
88,64,2018-10-15,Chef Ejecutivo
88,187,2019-03-06,Sous Chef
89,91,2024-05-27,Chef Principal
89,107,2021-08-14,Chef Ejecutivo
89,150,2022-11-01,Chef Ejecutivo
90,91,2021-02-01,Chef de Linea
90,123,2021-02-26,Sous Chef
91,46,2025-09-15,Chef de Linea
91,173,2023-05-08,Sous Chef
92,11,2019-12-11,Chef de Linea
92,15,2020-09-12,Chef Ejecutivo
92,56,2018-03-16,Chef Principal
93,184,2022-12-17,Chef de Linea
93,187,2017-12-28,Sous Chef
94,44,2019-12-29,Chef Principal
94,86,2023-09-28,Chef de Linea
94,148,2019-05-20,Sous Chef
95,3,2019-03-16,Chef de Linea
96,17,2020-10-13,Chef de Linea
96,99,2020-06-12,Sous Chef
96,153,2020-03-26,Chef Principal
97,80,2020-08-13,Chef Principal
97,99,2019-10-11,Chef Ejecutivo
97,198,2016-06-26,Chef Ejecutivo
98,14,2025-07-03,Sous Chef
98,83,2019-08-08,Chef Principal
99,52,2019-04-08,Chef Ejecutivo
99,149,2023-03-25,Chef de Linea
100,77,2019-02-15,Chef de Linea
100,127,2023-11-30,Chef Principal
